OID_,ชุมชน,รหัสเขต,รหัสไปรษณีย์,รหัสประเภทชุมชน,ละติจูด,ลองจิจูด,เขต,แขวง,ประเภทชุมชน
1582,ชุมชนสุกกาทอง โครงการ 2,1010,101002,2,13.84903465,100.7987591,เขตมีนบุรี,แขวงแสนแสบ,ชุมชนชานเมือง
1663,ชุมชนบ้านคู่คลอง,1019,101901,2,13.7538756,100.4605165,เขตตลิ่งชัน,แขวงคลองชักพระ,ชุมชนชานเมือง
1292,"ชุมชนหมู่ 6,8 คันนายาว",1043,104301,2,13.84904672,100.6786633,เขตคันนายาว,แขวงคันนายาว,ชุมชนชานเมือง
1294,ชุมชนริมคลองลำเกร็ด,1043,104301,2,13.82962218,100.6800502,เขตคันนายาว,แขวงคันนายาว,ชุมชนชานเมือง
1295,ชุมชนเกาะแครายพัฒนา,1043,104301,2,13.80590725,100.671732,เขตคันนายาว,แขวงคันนายาว,ชุมชนชานเมือง
1617,ชุมชนเลิศสุขสม,1022,102202,2,13.72293021,100.430126,เขตภาษีเจริญ,แขวงบางด้วน,ชุมชนชานเมือง
1739,ชุมชนหมู่ 5 บางพรม,1019,101904,2,13.74715171,100.4433672,เขตตลิ่งชัน,แขวงบางพรม,ชุมชนชานเมือง
1332,ชุมชนราษฎร์นิมิตสัมพันธ์ หมู่ 1,1046,104601,2,13.91506843,100.7273283,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง
1333,ชุมชนมีนทองพัฒนา หมู่ 2,1046,104601,2,13.90579728,100.7270097,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง
1005,ชุมชนงามปัญจะ,1040,104001,1,13.6910837,100.4253661,เขตบางแค,แขวงบางแค,ชุมชนแออัด
1335,"ชุมชนแป้นทองสัมพันธ์ หมู่13,14",1046,104601,2,13.88749239,100.7106092,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง
1336,ชุมชนสายสัมพันธ์พัฒนา หมู่ 5,1046,104601,2,13.86756368,100.7271613,เขตคลองสามวา,แขวงสามวาตะวันตก,ชุมชนชานเมือง
1337,ชุมชนพร้อมใจพัฒนา หมู่ 2,1046,104602,2,13.90117702,100.7323418,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1338,ชุมชนเฟื่องฟ้าพัฒนา หมู่ 11,1046,104602,2,13.90150314,100.7436598,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1339,ชุมชนสามัคคีพัฒนา หมู่ 13,1046,104602,2,13.91185834,100.7653978,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1341,ชุมชนรวมน้ำใจพัฒนา หมู่ 20,1046,104602,2,13.88761891,100.7627347,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1342,ชุมชนน้ำใสดอกไม้สวย หมู่ 19,1046,104602,2,13.88649861,100.7689248,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1343,ชุมชนอาบูพัฒนา หมู่ 7,1046,104605,2,13.83484731,100.7685985,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง
1345,ชุมชนเจริญพัฒนา (คูคต),1046,104603,2,13.82460482,100.705071,เขตคลองสามวา,แขวงบางชัน,ชุมชนชานเมือง
1346,ชุมชนประชาสร้างสรรค์ หมู่ 21,1046,104602,2,13.8817606,100.7528931,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1347,ชุมชนบัวแก้วพัฒนา หมู่ 1,1046,104604,2,13.84754768,100.7316939,เขตคลองสามวา,แขวงทรายกองดิน,ชุมชนชานเมือง
1348,ชุมชนวังตาหนวดพัฒนา หมู่ 5,1046,104604,2,13.85774733,100.7526758,เขตคลองสามวา,แขวงทรายกองดิน,ชุมชนชานเมือง
1379,ชุมชนริมคลอง 1,1046,104604,2,13.8623275,100.7517296,เขตคลองสามวา,แขวงทรายกองดิน,ชุมชนชานเมือง
1467,ชุมชนวัดหนองใหญ่,1042,104202,2,13.91385092,100.6764371,เขตสายไหม,แขวงออเงิน,ชุมชนชานเมือง
1633,ชุมชนซอยสามัคคี,1023,102302,2,13.71866232,100.363165,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
1773,ชุมชนฮิดายะห์พัฒนา,1044,104401,2,13.77689883,100.6722006,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง
1372,ชุมชนหมู่บ้านอินเตอร์ หมู่ที่ 10,1046,104604,2,13.83951274,100.7494774,เขตคลองสามวา,แขวงทรายกองดิน,ชุมชนชานเมือง
1780,ชุมชนชายคลอง,1023,102302,2,13.72503368,100.3552773,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
1783,ชุมชนแผ่นดินทองบ้านเกาะพัฒนา,1003,100302,2,13.87526131,100.8853822,เขตหนองจอก,แขวงหนองจอก,ชุมชนชานเมือง
1247,ชุมชนหลังสวนธนบุรีรมย์,1049,104901,2,13.65309085,100.4882997,เขตทุ่งครุ,แขวงบางมด,ชุมชนชานเมือง
1784,ชุมชนดำรงสันติธรรม,1003,100301,2,13.85726245,100.8468864,เขตหนองจอก,แขวงกระทุ่มราย,ชุมชนชานเมือง
1786,ชุมชนผดุงพันธ์พัฒนา,1003,100302,2,13.85651272,100.8694505,เขตหนองจอก,แขวงหนองจอก,ชุมชนชานเมือง
1788,ชุมชนเกษตรก้าวหน้าลำรางหนองกง,1005,100502,2,13.86446798,100.6758322,เขตบางเขน,แขวงอนุสาวรีย์,ชุมชนชานเมือง
1380,ชุมชนเจริญสุขพัฒนา,1046,104605,2,13.86436082,100.7755932,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง
1382,ชุมชนคลองลำมะเขือขื่น,1046,104602,2,13.89475157,100.7836887,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1383,ชุมชนสุขสันต์พัฒนา หมู่1,1046,104602,2,13.90684888,100.7291178,เขตคลองสามวา,แขวงสามวาตะวันออก,ชุมชนชานเมือง
1384,ชุมชนนูรุดดีน,1046,104605,2,13.83680494,100.7716101,เขตคลองสามวา,แขวงทรายกองดินใต้,ชุมชนชานเมือง
1328,ชุมชนคลองแม่จันทร์,1044,104401,2,13.74580751,100.7088358,เขตสะพานสูง,แขวงสะพานสูง,ชุมชนชานเมือง
1855,ชุมชนคลองตาสอน,1011,101105,2,13.7233377,100.852952,เขตลาดกระบัง,แขวงทับยาว,ชุมชนชานเมือง
1857,ชุมชนซิรอตุ้ลญันนะห์,1011,101106,2,13.70276049,100.8538536,เขตลาดกระบัง,แขวงขุมทอง,ชุมชนชานเมือง
992,ชุมชนหลังโรงเรียนสากลศึกษา,1040,104001,5,13.70716976,100.4230314,เขตบางแค,แขวงบางแค,ชุมชนเมือง
398,ชุมชนเคหะชุมชนร่มเกล้า โซน 2,1011,101102,5,13.77047239,100.7310324,เขตลาดกระบัง,แขวงคลองสองต้นนุ่น,ชุมชนเมือง
1033,ชุมชนซอยแม่เนี้ยว แยก 3,1026,102601,1,13.77285001,100.5577678,เขตดินแดง,แขวงดินแดง,ชุมชนแออัด
1645,ชุมชนเพิ่มดีพัฒนา,1023,102302,2,13.69098021,100.3700505,เขตหนองแขม,แขวงหนองแขม,ชุมชนชานเมือง
1892,ชุมชนบ้านคลองนาหมอน,1003,100304,2,13.94216232,100.8860445,เขตหนองจอก,แขวงคลองสิบสอง,ชุมชนชานเมือง
1894,ชุมชนหมู่ 4 ร่วมพัฒนา,1003,100302,2,13.86986018,100.8989551,เขตหนองจอก,แขวงหนองจอก,ชุมชนชานเมือง
1909,ชุมชนคลองเนินทราย,1048,104801,2,13.75352425,100.3376757,เขตทวีวัฒนา,แขวงทวีวัฒนา,ชุมชนชานเมือง
1911,ชุมชนคลองมหาสวัสดิ์,1048,104802,2,13.80322739,100.347338,เขตทวีวัฒนา,แขวงศาลาธรรมสพน์,ชุมชนชานเมือง
1916,ชุมชนหมู่ 4 พัฒนา,1003,100303,2,13.93025967,100.8098051,เขตหนองจอก,แขวงคลองสิบ,ชุมชนชานเมือง
